Association,Resource Name,Link to Resource
Regional Resources,Los Angeles Mutual Aid Form,https://docs.google.com/forms/d/e/1FAIpQLSdGfypKKirsvUQCX5eVix86nIrTaf5atsnhn8bWxpCRn_lM9Q/formResponse
Regional Resources,Los Angeles Mutual Aid Fund,https://www.gofundme.com/f/covid19-mutual-aid-network?fbclid=IwAR3r9-TDkOxXuKGzsLRMq1aarFKqV4qZPOkH4I3Egga0m2b5sAHEMk9s3sc
Regional Resources,Los Angeles Mutual Aid Fund,https://www.gofundme.com/f/mutual-aid-action-los-angeles-fundraiser?utm_source=twitter&utm_medium=social&utm_campaign=m_pd+share-sheet
Regional Resources,San Diego Mutual Aid Grocery Shopping Form (Volunteer),https://docs.google.com/forms/d/e/1FAIpQLScemN0nfdpSoDXJLqGMjP-_WgCBYQhK-DTbcKezpaCYvu7VzA/viewform
Regional Resources,San Diego Mutual Aid Fund,https://www.gofundme.com/f/dsa-san-diego-mutual-aid-fund
Regional Resources,San Diego County Mutual Aid Facebook Page,https://www.facebook.com/groups/938774179853952/?notif_id=1584209670320335&notif_t=group_r2j_approved&ref=notif
Regional Resources,San Diego Mutual Aid Facebook Page,https://www.facebook.com/groups/3059693264081327/?multi_permalinks=3059717584078895%2C3059720210745299%2C3059719130745407%2C3059718500745470%2C3059717790745541&notif_id=1584206726594363&notif_t=group_activity&ref=notif
University of Southern California,USC Mutual Aid Spreadsheet,https://docs.google.com/spreadsheets/d/1keFuGf8tN3auAkBd30rdLlUI-p_UpfDGLJ_Gia6W9As/edit#gid=876559166
University of Southern California,USC Tuition Reimbursement Petition,https://www.change.org/p/usc-president-carol-l-folt-partial-tuition-reimbursement-at-university-of-southern-california?recruiter=1038159472&utm_source=share_petition&utm_medium=sms&utm_campaign=psf_combo_share_initial&utm_term=psf_combo_share_initial&recruited_by_id=bbcf0900-419d-11ea-8fb8-09c14b6e4df1
University of Southern California,USC Work-Study Employment Petition,https://www.change.org/p/university-of-southern-california-pay-out-federal-work-study-awards-for-usc-students-affected-by-campus-closure
University of Southern California,USC Pass/No Pass Grades Petition,https://www.change.org/p/university-of-southern-california-usc-should-change-all-spring-grades-to-pass-no-pass?recruiter=64843286&utm_source=share_petition&utm_medium=copylink&utm_campaign=tap_basic_share
University of Southern California,USC Call-To-Action Letter for Classes,https://docs.google.com/document/d/166_PurOzfn0zBOCvKKj0B27um27pwq1ecX4e0pDqxR8/edit?ts=5e6e62c6
Pomona College,Pomona GoFundMe For Evicted Students,https://www.gofundme.com/f/help-house-pomona-college-students-during-covid19?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp+share-sheet
Pomona College,#HomelessatPomona Petition,https://docs.google.com/forms/d/e/1FAIpQLScds8jmBZlkiIvPDUWnBFFlc3Z82bQIvy5n_sPoobZTCYVfJg/viewform
UC Santa Barbara,UCSB Tuition Reimbursement Petition,https://www.change.org/p/regents-of-the-university-of-california-ucsb-spring-quarter-tuition-adjustment?source_location=search_index&algorithm=promoted&original_footer_petition_id=&grid_position=2&pt=AVBldGl0aW9uAE6rPQEAAAAAXnEKBY62LdNmOGRjNzFjZQ%3D%3D
UC Irvine,UCI Tuition/Housing Reimbursement Petition,https://www.change.org/p/howard-gillman-refund-student-housing-for-spring-quarter-at-uc-irvine?source_location=search_index&algorithm=promoted&original_footer_petition_id=&grid_position=3&pt=AVBldGl0aW9uAHu3PAEAAAAAXnEKBSqEhV1mNzJkYWRhNg%3D%3D
